DWO ID,Bureau stn_num,DWO name,latitude,longitude
6126,10647,Wagin,-33.3075,117.3403
6127,10917,Wandering,-32.6722,116.6706
6128,13011,Warburton,-26.1317,126.5839
6129,2032,Warmun,-17.0156,128.2175
6130,13012,Wiluna,-26.5914,120.225
6131,9871,Windy Harbour,-34.8361,116.0308
6132,5026,Wittenoom,-22.2425,118.3358
6133,8137,Wongan Hills,-30.8917,116.7186
6134,1013,Wyndham,-15.4872,128.1247
6135,12090,Yeelirrie,-27.2842,120.0931
6136,10311,York,-31.8997,116.765
6137,8290,Abrolhos,-28.3008,113.5936
6138,9998,Walpole,-34.9469,116.7222
6139,10058,Goomalling,-31.2994,116.8269
6140,8095,Mullewa,-28.5367,115.5142
6141,1020,Truscott,-14.09,126.3867
6142,509169,Champion Lakes,-32.1061,115.9983
7001,92003,Bicheno,-41.8739,148.3036
7002,91284,Bridport,-41.0025,147.3869
7003,94166,Bull Bay,-43.0903,147.3611
7004,91009,Burnie,-41.0661,145.9431
7005,95003,Bushy Park,-42.7097,146.8983
7006,94212,Campania,-42.6867,147.4258
7007,94198,Cape Bruny,-43.4886,147.1444
7008,91245,Cape Grim,-40.6828,144.69
7009,97000,Cape Sorell,-42.1986,145.17
7010,92124,Maria Island,-42.6619,148.0181
7011,91306,Cressy,-41.7256,147.0794
7012,98017,Currie,-39.88,143.8831
7013,91126,Devonport,-41.1708,146.4267
7014,94020,Dover,-43.3167,147.0075
7015,92045,Eddystone Point,-40.9928,148.3467
7016,92012,Fingal,-41.6428,147.9664
7017,92114,Friendly Beaches,-41.9953,148.2794
7018,94137,Geeveston,-43.1639,146.9172
7019,94220,Grove,-42.9858,147.0742
7020,94191,Hartz Mountains,-43.2006,146.7683
7021,94029,Hobart,-42.8897,147.3278
7022,94008,Hobart Airport,-42.8339,147.5033
7023,92019,Lake Leake,-42.0067,147.7975
7024,96071,Lake St Clair,-42.1178,146.1772
7025,91237,Launceston,-41.4194,147.1222
7026,91311,Launceston Airport,-41.5492,147.2144
7027,96033,Liawenee,-41.8997,146.6694
7028,91293,Low Head,-41.0556,146.7856
7029,97080,Low Rocky Point,-42.985,145.5022
7030,91259,Luncheon Hill,-41.1492,145.1517
7031,94041,Maatsuyker Island,-43.6578,146.2711
7032,91223,Marrawah,-40.9089,144.7094
7033,95063,Maydena,-42.7567,146.6239
7034,94201,Melton Mowbray,-42.4928,147.1981
7036,97085,Mount Read,-41.8444,145.5419
7037,94087,Mount Wellington,-42.8967,147.235
7038,92027,Orford,-42.5519,147.8753
7039,95048,Ouse,-42.4842,146.7106
7042,93053,Ross,-42.025,147.4953
7043,92094,Scamander,-41.4639,148.2644
7044,97083,Scotts Peak Dam,-43.0425,146.2722
7045,91219,Scottsdale,-41.1708,147.4883
7046,91291,Sheffield,-41.3886,146.3219
7047,91292,Smithton,-40.8347,145.0847
7048,92120,St Helens,-41.3381,148.2792
7049,97072,Strahan,-42.155,145.2908
7050,97053,Strathgordon,-42.7681,146.0461
7051,92123,Swan Island,-40.7292,148.125
7052,92038,Swansea,-42.1236,148.0731
7053,95018,Tarraleah,-42.3003,146.4486
7054,94155,Tasman Island,-43.2397,148.0025
7055,94195,Tunnack,-42.4544,147.4614
7056,99005,Whitemark,-40.0928,148.0008
7057,91107,Wynyard,-40.9972,145.7292
7058,97024,Warra,-43.0609,146.704
7059,96003,Butlers Gorge,-42.2753,146.2758
8001,15502,Ali Curung,-21.0025,134.4029
8002,15590,Alice Springs,-23.7951,133.889
8003,14507,Alyangula,-13.8483,136.4198
8004,15594,Arltunga,-23.4635,134.6865
8005,14272,Batchelor,-13.0545,131.0252
8007,14723,Borroloola,-16.0757,136.3041
8009,15085,Brunette Downs,-18.637,135.945
8010,14703,Centre Island,-15.7426,136.8192
8011,14253,Channel Point,-13.1672,130.1225
8012,15511,Curtin Springs,-25.3139,131.7571
8013,14626,Daly Waters,-16.2636,133.3782
8014,14015,Darwin,-12.4239,130.8925
8015,14949,Delamere,-15.7442,131.9182
8016,14901,Douglas River Research Station,-13.8345,131.1872
8017,14277,Dum In Mirrie Island,-12.635,130.3725
8019,15131,Elliott,-17.5521,133.5407
8020,14508,Nhulunbuy [gove],-12.2741,136.8203
8021,14518,Groote Eylandt Airport,-13.9747,136.4631
8022,14198,Jabiru,-12.6594,132.8939
8023,15602,Jervois,-22.9494,136.1442
8024,14903,Katherine,-14.4437,132.2737
8025,14847,Kidman Springs,-16.1176,130.9558
8026,15603,Kulgera,-25.8428,133.3027
8027,14829,Lajamanu,-18.3325,130.6358
8028,14612,Larrimah,-15.5748,133.2138
8029,14938,Mango Farm,-13.7379,130.6834
8030,14405,Maningrida,-12.0569,134.2339
8031,14704,McArthur River Mine,-16.4423,136.076
8032,14274,McCluer Island,-11.0468,132.9791
8033,14041,Middle Point (Humpty Doo),-12.605,131.2988
8034,14404,Milingimbi,-12.0931,134.8919
8035,14517,Ngayawili (Elcho Island),-11.9971,135.5726
8036,14609,Ngukurr,-14.7295,134.7274
8038,14042,Oenpelli,-12.3263,133.0581
8039,15612,Papunya,-23.2044,131.9156
8040,14960,Pine Creek,-13.8242,131.8321
8042,200731,Point Fawcett (Bathurst Island),-11.7628,130.03
8043,14948,Port Keats,-14.2495,129.5282
8044,15666,Rabbit Flat,-20.1824,130.0148
8045,15135,Tennant Creek,-19.6423,134.1833
8046,15643,Ti-tree [territory Grape Farm],-22.4518,133.6377
8047,14850,Timber Creek,-15.6614,130.4808
8048,14932,Tindal RAAF,-14.5229,132.3826
8049,14825,Victoria River Downs,-16.403,131.0145
8050,14401,Warruwi (Goulburn Island),-11.6502,133.3796
8051,15652,Watarrka (Kings Canyon),-24.2914,131.5488
8052,14840,Wave Hill,-17.3871,131.1166
8053,14707,Wollogorang,-17.2122,137.9462
8054,15664,Wulungurru [kintor],-23.27,129.38
8055,15528,Yuendumu,-22.2562,131.8017
8056,15635,Uluru [ayers Rock],-25.1896,130.9737
8057,14142,Pirlangimpi,-11.4022,130.4217
9201,300000,Davis,-68.5744,77.9672
9202,300001,Mawson,-67.6017,62.8753
9203,300017,Casey,-66.2825,110.5231
9204,300004,Macquarie Island,-54.4994,158.9369
