DWO ID,Bureau stn_num,DWO name,latitude,longitude
2137,72043,Tumbarumba ,-35.778,148.0141
2138,69138,Ulladulla ,-35.3635,150.4827
2139,72150,Wagga Wagga ,-35.1583,147.4573
2140,52088,Walgett ,-30.0372,148.1223
2141,48079,Wanaaring ,-29.7029,144.1482
2142,65034,Wellington,-32.5635,148.9503
2143,46042,White Cliffs ,-30.8506,143.0893
2144,46043,Wilcannia  ,-31.5631,143.3747
2145,61078,Williamtown ,-32.7932,151.8359
2146,68228,Wollongong ,-34.3691,150.9291
2147,55136,Woolbrook,-30.9672,151.3451
2148,73054,Wyalong ,-33.9262,147.2418
2149,58012,Yamba ,-29.4333,153.3633
2150,74037,Yanco ,-34.6223,146.4328
2151,60085,Mount Seaview,-31.3865,152.2482
2152,70091,Yass ,-34.8313,148.9113
2153,73138,Young,-34.2493,148.2475
2154,66059,Terrey Hills ,-33.6908,151.2253
2155,46128,Fowlers Gap,-31.0867,141.7017
2156,63077,Springwood,-33.7065,150.5848
2157,68257,Campbelltown,-34.0615,150.7735
2158,61287,Merriwa,-32.1852,150.1737
2159,61412,Lake Macquarie,-33.0887,151.4636
2801,70014,Canberra,-35.3049,149.2014
2802,70339,Tuggeranong,-35.4184,149.0937
2803,70310,Tidbinbilla,-35.4408,148.9422
2804,70349,Mount Ginini,-35.5293,148.7721
3001,90180,Aireys Inlet,-38.4583,144.0883
3002,89085,Ararat,-37.2775,142.9811
3003,87113,Avalon,-38.0287,144.4783
3004,85279,Bairnsdale,-37.8817,147.5669
3005,89002,Ballarat,-37.5127,143.7911
3006,82137,Beechworth,-36.3192,146.6803
3007,82170,Benalla,-36.5523,145.9977
3008,81123,Bendigo,-36.7395,144.3266
3009,86351,Bundoora,-37.7163,145.0453
3010,90184,Cape Nelson,-38.4306,141.5437
3011,90015,Cape Otway,-38.8556,143.5128
3012,90182,Casterton,-37.583,141.3339
3013,88110,Castlemaine,-37.0809,144.2392
3014,86361,Cerberus,-38.3646,145.1785
3015,90035,Colac (Mt Gellibrand),-38.2333,143.7925
3016,86383,Coldstream,-37.7239,145.4094
3017,84143,Combienbar,-37.3417,149.0228
3018,82169,Corryong,-36.1828,147.8938
3019,86375,Cranbourne,-38.1348,145.2637
3020,82076,Dartmouth,-36.5353,147.4984
3021,86372,Mount Dandenong,-37.8775,145.3364
3022,85072,Sale,-38.1156,147.1322
3023,80015,Echuca,-36.1647,144.7642
3024,83083,Edi Upper,-36.7396,146.4671
3025,88164,Haines Saddle,-37.2091,145.8423
3026,86038,Essendon,-37.7276,144.9066
3027,83084,Falls Creek,-36.8708,147.2755
3028,86371,Frankston,-38.1481,145.1156
3029,84016,Gabo Island,-37.5679,149.9158
3030,87163,Geelong,-38.2241,144.3345
3031,84142,Gelantipy,-37.22,148.2625
3032,90173,Hamilton,-37.6486,142.0636
3034,79023,Horsham (Polkemmet),-36.6613,142.0687
3035,79100,Horsham,-36.6697,142.1731
3036,82139,Hunters Hill,-36.2136,147.5394
3037,80023,Kerang,-35.7236,143.9197
3038,88162,Kilmore Gap,-37.3807,144.9654
3039,80091,Kyabram,-36.335,145.0638
3040,88023,Lake Eildon,-37.2313,145.9124
3041,84150,Lakes Entrance,-37.8717,148.006
3042,85280,Latrobe Valley,-38.2094,146.4747
3043,87031,Laverton,-37.8565,144.7566
3044,79028,Longerenong,-36.6722,142.2991
3045,79101,Ben Nevis,-37.2281,143.2006
3046,84084,Mallacoota,-37.5976,149.7289
3047,88109,Mangalore,-36.8886,145.1859
3048,88043,Maryborough,-37.056,143.732
3049,86282,Melbourne Airport,-37.6655,144.8321
3050,86071,Melbourne,-37.8075,144.97
3051,76031,Mildura,-34.2358,142.0867
3052,86077,Moorabbin,-37.98,145.0964
3053,90176,Mortlake,-38.0737,142.7744
3054,83024,Mount Buller,-37.145,146.4394
3055,83085,Mount Hotham,-36.9767,147.1342
3057,85296,Mount Moornapa,-37.7481,147.1428
3058,84144,Mount Nowa Nowa,-37.6924,148.0908
3059,78015,Nhill,-36.3092,141.6486
3060,85277,Noojee (Slivar),-37.9039,145.9719
3061,83090,Omeo,-37.1017,147.6008
3062,84145,Orbost,-37.6922,148.4667
3063,76047,Ouyen,-35.0694,142.3158
3064,86354,Phillip Island,-38.5058,145.1503
3065,84070,Point Hicks,-37.8017,149.2747
3066,87166,Point Wilson,-38.0958,144.5361
3067,90175,Port Fairy,-38.3906,142.2347
3068,90171,Portland,-38.3148,141.4705
3069,88051,Redesdale,-37.0194,144.5203
3070,86373,Rhyll,-38.4612,145.3101
3071,82039,Rutherglen,-36.1047,146.5094
3072,86104,Scoresby,-37.871,145.2561
3073,87168,Sheoaks,-37.9075,144.1303
3074,81125,Shepparton,-36.4289,145.3947
3075,79105,Stawell,-37.068,142.7412
3076,82042,Strathbogie,-36.8472,145.7308
3077,77094,Swan Hill,-35.3766,143.5416
3078,81049,Tatura,-36.4378,145.2672
3079,86068,Watsonia,-37.7408,145.0972
3080,76064,Walpeup,-35.1201,142.004
3081,82138,Wangaratta,-36.4206,146.3056
3082,78077,Warracknabeal,-36.2614,142.405
3083,90186,Warrnambool,-38.2867,142.4522
3084,90083,Weeaproinah,-38.6357,143.5127
3085,85096,Wilsons Promontory,-39.1297,146.4244
3086,86127,Wonthaggi,-38.6078,145.5965
3087,81124,Yarrawonga,-36.0294,146.0306
3088,200838,Hogan Island,-39.2225,146.9841
3089,86071,Melbourne City,-37.8075,144.97
3090,77010,Hopetoun,-35.7151,142.3569
3091,79097,Kanagulk,-37.1169,141.8031
3092,80128,Charlton,-36.2847,143.3341
3093,86068,Viewbank,-37.7408,145.0972
3094,89112,Westmere,-37.7067,142.9378
3095,85291,Mount Baw Baw,-37.8383,146.2747
3096,79099,Edenhope,-37.0222,141.2656
3097,79103,Mount William (Grampians),-37.295,142.6039
3098,85151,Yarram,-38.5647,146.7479
3099,85099,Pound Creek,-38.6297,145.8107
3100,85283,Willow Grove,-38.0808,146.2139
3101,90194,Dartmoor,-37.9222,141.2614
4001,33295,Alva Beach,-19.4569,147.4833
4002,40004,Amberley,-27.6297,152.7111
4003,40211,Archerfield,-27.5717,153.0078
4005,33002,Ayr,-19.6169,147.3758
4007,39004,Baralaba,-24.1819,149.8117
4008,36007,Barcaldine,-23.5544,145.2883
4009,38000,Bedourie,-24.3597,139.4714
4010,40284,Beerburrum ,-26.9586,152.9619
4011,38026,Birdsville,-25.8975,139.3472
4012,36034,Blackall,-24.4303,145.4306
4014,44010,Bollon,-28.0336,147.4803
4015,38003,Boulia,-22.9117,139.9039
4016,33257,Bowen,-20.0151,148.2152
4018,35149,Brigalow Research Station,-24.8353,149.8003
4019,40913,Brisbane,-27.4808,153.0389
4020,40842,Brisbane Airport,-27.3917,153.1292
4021,39128,Bundaberg,-24.8885,152.3235
